Notebook,Vessel,Temperature,Treatment,Plate,Row,Column,Electrophile,Electrophile SMILES,Electrophile Conc (M),Nucleophile,Nucleophile SMILES,Nucleophile Conc (M),Product,Product SMILES,Catalyst1,Catalyst1 SMILES,Catalyst1 Conc (M),Ligand1,Ligand1 SMILES,Ligand1 Conc (M),Ligand2,Ligand2 SMILES,Ligand2 Conc (M),Catalyst2,Catalyst2 SMILES,Catalyst2 Conc (M),BaseAcid,BaseAcid SMILES,BaseAcid Conc (M),ReductantOxidant,ReductantOxidant SMILES,ReductantOxidant Conc (M),Additive,Additive SMILES,Additive Conc (M),Solvent1,Solvent1 SMILES,Solvent1 percentage,Solvent2,Solvent2 percentage,Analytical Method,index_waters,Output Value
bm20221014,24,25,,24,A,1,isonicotinic acid,O=C(O)C1=CC=NC=C1,0.1,p-t diazonium,CC1=CC=C([N+]#N)C=C1.FB(F)F.[F-],0.2,cc,CC1=CC=C(C2=CC=NC=C2)C=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,A1,0.0032
bm20221014,24,25,,24,A,2,quinaldic acid,O=C(O)C1=NC2=CC=CC=C2C=C1,0.1,p-t diazonium,CC1=CC=C([N+]#N)C=C1.FB(F)F.[F-],0.2,cc,CC1=CC=C(C2=NC3=CC=CC=C3C=C2)C=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,A2,0.0604
bm20221014,24,25,,24,A,3,4-quinoline carboxylic acid,O=C(C1=CC=NC2=CC=CC=C12)O,0.1,p-t diazonium,CC1=CC=C([N+]#N)C=C1.FB(F)F.[F-],0.2,cc,CC1=CC=C(C2=CC=NC3=CC=CC=C32)C=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,A3,0.09606818
bm20221014,24,25,,24,A,4,isoquinoline-1-carboxylic acid,O=C(C1=NC=CC2=C1C=CC=C2)O,0.1,p-t diazonium,CC1=CC=C([N+]#N)C=C1.FB(F)F.[F-],0.2,cc,CC1=CC=C(C2=NC=CC3=CC=CC=C32)C=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,A4,0.304303104
bm20221014,24,25,,24,A,5,2-Phenylquinoline-4-carboxylic acid,O=C(C1=C2C=CC=CC2=NC(C3=CC=CC=C3)=C1)O,0.1,p-t diazonium,CC1=CC=C([N+]#N)C=C1.FB(F)F.[F-],0.2,cc,CC1=CC=C(C2=C3C=CC=CC3=NC(C4=CC=CC=C4)=C2)C=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,A5,0.3688
bm20221014,24,25,,24,A,6,Anthraquinone-2-carboxylic Acid,O=C(C1=C2C=CC=CC2=NC(C3=CC=CC=C3)=C1)O,0.1,p-t diazonium,CC1=CC=C([N+]#N)C=C1.FB(F)F.[F-],0.2,cc,O=C(C1=CC=C(C2=CC=C(C)C=C2)C=C1C3=O)C4=C3C=CC=C4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,A6,0
bm20221014,24,25,,24,B,1,isonicotinic acid,O=C(O)C1=CC=NC=C1,0.1,4-ethyl diazonium,N#[N+]C(C=C1)=CC=C1C(OCC)=O.FB(F)F.[F-],0.2,cc,O=C(OCC)C1=CC=C(C2=CC=NC=C2)C=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,B1,0
bm20221014,24,25,,24,B,2,quinaldic acid,O=C(O)C1=NC2=CC=CC=C2C=C1,0.1,4-ethyl diazonium,N#[N+]C(C=C1)=CC=C1C(OCC)=O.FB(F)F.[F-],0.2,cc,O=C(OCC)C1=CC=C(C2=NC3=CC=CC=C3C=C2)C=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,B2,0.0321
bm20221014,24,25,,24,B,3,4-quinoline carboxylic acid,O=C(C1=CC=NC2=CC=CC=C12)O,0.1,4-ethyl diazonium,N#[N+]C(C=C1)=CC=C1C(OCC)=O.FB(F)F.[F-],0.2,cc,O=C(OCC)C1=CC=C(C2=CC=NC3=CC=CC=C32)C=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,B3,0.027421465
bm20221014,24,25,,24,B,4,isoquinoline-1-carboxylic acid,O=C(C1=NC=CC2=C1C=CC=C2)O,0.1,4-ethyl diazonium,N#[N+]C(C=C1)=CC=C1C(OCC)=O.FB(F)F.[F-],0.2,cc,O=C(OCC)C1=CC=C(C2=NC=CC3=CC=CC=C32)C=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,B4,0.192
